id,concept_name,category,subcategory,difficulty_level,bloom_level,dependencies,chapter
C099,Meta-skill anti-patterns,Meta-Skills,Design Criteria,intermediate,evaluate,C076,8
C100,Two-variant as conditional not meta-skill,Meta-Skills,Design Criteria,intermediate,analyze,"C099,C081",8
C101,Lazy loading definition,Token Efficiency,Core Patterns,intermediate,understand,C002,9
C102,Tiered information retrieval,Token Efficiency,Core Patterns,intermediate,understand,C101,9
C103,Tier 1 metadata (always loaded),Token Efficiency,Progressive Disclosure,intermediate,remember,C102,9
C104,Tier 2 instructions (on activation),Token Efficiency,Progressive Disclosure,intermediate,remember,C102,9
C105,Tier 3 resources (on demand),Token Efficiency,Progressive Disclosure,intermediate,remember,C102,9
C106,Skip-if-complete detection,Token Efficiency,Core Patterns,intermediate,apply,C101,9
C107,Minimal context strategy,Token Efficiency,Core Patterns,intermediate,apply,C101,9
C108,MCP-first retrieval order,Token Efficiency,Core Patterns,intermediate,understand,"C102,C107",9
C109,Token cost measurement,Token Efficiency,Measurement,intermediate,analyze,C101,9
C110,Context window competition,Token Efficiency,Problem Statement,intermediate,understand,"C020,C101",9
C111,Description field length optimization,Token Efficiency,Optimization,intermediate,apply,"C029,C109",9
C112,Prerequisite check token minimization,Token Efficiency,Optimization,intermediate,apply,"C055,C109",11
C113,Session logging definition,Pipeline Orchestration,Session Management,intermediate,understand,C002,10
C114,Structured log file format,Pipeline Orchestration,Session Management,intermediate,understand,C113,10
C115,Cross-session continuity,Pipeline Orchestration,Session Management,intermediate,understand,C113,10
C116,Log directory convention (logs/),Pipeline Orchestration,Session Management,beginner,remember,C113,10
C117,State tracking with JSON files,Pipeline Orchestration,Session Management,intermediate,apply,C113,10
C118,Log format conventions,Pipeline Orchestration,Session Management,intermediate,remember,C113,10
C119,Resume session pattern,Pipeline Orchestration,Session Management,intermediate,apply,"C113,C117",10
C120,Checkpoint approval persistence,Pipeline Orchestration,Session Management,advanced,apply,"C119,C117",11
C121,Pipeline definition,Pipeline Orchestration,Core Concept,intermediate,understand,C001,11
C122,Skill as pipeline stage,Pipeline Orchestration,Core Concept,intermediate,understand,"C121,C001",11
C123,Stage defined inputs,Pipeline Orchestration,Stage Properties,intermediate,understand,C122,11
C124,Stage defined outputs,Pipeline Orchestration,Stage Properties,intermediate,understand,C122,11
C125,Prerequisite detection in pipeline,Pipeline Orchestration,Stage Properties,intermediate,apply,"C055,C122",11
C126,Completion signaling,Pipeline Orchestration,Stage Properties,intermediate,apply,C124,11
C127,Dependency graph (DAG),Pipeline Orchestration,Graph Theory,intermediate,understand,C121,11
C128,Directed Acyclic Graph (DAG),Pipeline Orchestration,Graph Theory,intermediate,remember,C127,11
C129,Parallel stage execution,Pipeline Orchestration,Execution,advanced,apply,"C058,C127",11
C130,Critical path identification,Pipeline Orchestration,Execution,advanced,analyze,C127,11
C131,Convergent input stage,Pipeline Orchestration,Execution,advanced,understand,C127,11
C132,12-step intelligent textbook pipeline,Pipeline Orchestration,Case Study,intermediate,understand,C121,11
C133,Checkpoint design principles,Pipeline Orchestration,Checkpoints,intermediate,apply,C121,11
C134,High-leverage checkpoint placement,Pipeline Orchestration,Checkpoints,intermediate,evaluate,C133,11
C135,Irreversibility boundary checkpoint,Pipeline Orchestration,Checkpoints,intermediate,apply,C133,11
C136,Checkpoint as hard stop,Pipeline Orchestration,Checkpoints,intermediate,understand,C133,11
C137,Pipeline state file (pipeline-status.json),Pipeline Orchestration,Session Management,intermediate,apply,C117,11
C138,File contract definition,Pipeline Orchestration,Handoffs,intermediate,understand,C121,11
C139,Input contract specification,Pipeline Orchestration,Handoffs,intermediate,apply,C138,11
C140,Output contract specification,Pipeline Orchestration,Handoffs,intermediate,apply,C138,11
C141,Orchestrator skill pattern,Pipeline Orchestration,Advanced Patterns,advanced,understand,"C121,C076",11
C142,Monolithic orchestrator anti-pattern,Pipeline Orchestration,Anti-Patterns,advanced,evaluate,C141,11
C143,Hardcoded path anti-pattern,Pipeline Orchestration,Anti-Patterns,intermediate,evaluate,C140,11
C144,Silent failure anti-pattern,Pipeline Orchestration,Anti-Patterns,intermediate,evaluate,C056,11
C145,Data format transformation skill,Specialized Skills,Data Skills,intermediate,understand,C001,12
C146,CSV to JSON transformation,Specialized Skills,Data Skills,intermediate,apply,C145,12
C147,Learning graph as data artifact,Specialized Skills,Data Skills,intermediate,understand,C145,12
C148,Metadata schema skill,Specialized Skills,Data Skills,intermediate,understand,C145,12
C149,Python helper script integration,Specialized Skills,Script Integration,intermediate,apply,C145,12
C150,Scripts directory pattern,Specialized Skills,Script Integration,intermediate,remember,C149,12
C151,Code generation skill category,Specialized Skills,Code Skills,intermediate,understand,C001,13
C152,MicroSim generation skill,Specialized Skills,Code Skills,intermediate,understand,C151,13
C153,Template pattern for code output,Specialized Skills,Code Skills,intermediate,apply,C151,13
C154,Output validation for generated code,Specialized Skills,Code Skills,intermediate,apply,"C151,C060",13
C155,Multi-file package output,Specialized Skills,Code Skills,intermediate,apply,C151,13
C156,JavaScript library selection logic,Specialized Skills,Code Skills,intermediate,apply,C152,13
C157,p5.js visualization generation,Specialized Skills,Code Skills,intermediate,apply,"C152,C156",13
C158,Chart.js visualization generation,Specialized Skills,Code Skills,intermediate,apply,"C152,C156",13
C159,Standalone HTML output pattern,Specialized Skills,Code Skills,intermediate,apply,C151,13
C160,Analysis skill definition,Specialized Skills,Analysis Skills,intermediate,understand,C014,14
C161,Scoring and auditing skill,Specialized Skills,Analysis Skills,intermediate,understand,C160,14
C162,DAG validation skill,Specialized Skills,Analysis Skills,intermediate,understand,"C160,C128",14
C163,Metrics generation skill,Specialized Skills,Analysis Skills,intermediate,apply,C160,14
C164,Book metrics generator,Specialized Skills,Analysis Skills,intermediate,understand,C163,14
C165,Composite quality score,Specialized Skills,Analysis Skills,intermediate,apply,"C163,C060",14
C166,Content gap identification,Specialized Skills,Analysis Skills,intermediate,analyze,C164,14
C167,Read-heavy skill pattern,Specialized Skills,Analysis Skills,intermediate,understand,C160,14
C168,Global installation path (~/.claude/skills/),Deployment,Installation,beginner,remember,C008,15
C169,Project-local installation path,Deployment,Installation,beginner,remember,C009,15
C170,Discovery order (project-local overrides global),Deployment,Installation,intermediate,understand,"C168,C169",15
C171,Symlink installation pattern,Deployment,Installation,intermediate,understand,C168,15
C172,Development repo separation from deployment,Deployment,Installation,intermediate,understand,C171,15
C173,install.sh script pattern,Deployment,Installation,intermediate,apply,C171,15
C174,uninstall.sh script pattern,Deployment,Installation,intermediate,apply,C171,15
C175,Symlink auto-update on file edit,Deployment,Installation,intermediate,understand,C171,15
C176,/skills command listing,Deployment,Registry,beginner,remember,C021,15
C177,list-skills.sh shell script,Deployment,Registry,intermediate,apply,C176,15
C178,MCP server for skill listing,Deployment,Registry,advanced,understand,"C108,C176",15
C179,MCP configuration in mcp-config.json,Deployment,Registry,advanced,apply,C178,15
C180,Strategic skill management,Deployment,Limit Management,intermediate,apply,"C019,C168",15
C181,Profile-based installation,Deployment,Limit Management,intermediate,apply,C180,15
C182,Archiving inactive skills,Deployment,Limit Management,intermediate,apply,C180,15
C183,CLAUDE.md skill context file,Deployment,Configuration,intermediate,understand,C021,15
C184,Symlink verification steps,Deployment,Installation,beginner,apply,C171,15
C185,Manual testing workflow,Testing,Test Strategies,beginner,apply,C070,16
C186,Separate session testing requirement,Testing,Test Strategies,beginner,understand,C185,16
C187,Conditional branch testing,Testing,Test Strategies,intermediate,apply,"C053,C185",16
C188,Edge case testing,Testing,Test Strategies,intermediate,apply,C185,16
C189,Quality score trigger testing,Testing,Test Strategies,intermediate,apply,"C060,C185",16
C190,Common skill debugging patterns,Testing,Debugging,intermediate,analyze,C072,16
C191,Skill behavior tracing,Testing,Debugging,intermediate,apply,C190,16
C192,Do not compensate with reprompting principle,Testing,Debugging,intermediate,evaluate,C190,16
C193,Fix the skill not the session principle,Testing,Debugging,intermediate,evaluate,C192,16
C194,Broken symlink diagnosis,Testing,Debugging,intermediate,apply,"C171,C184",15
C195,Skill packaging for sharing,Deployment,Distribution,intermediate,understand,C001,17
C196,GitHub-based skill distribution,Deployment,Distribution,intermediate,apply,C195,17
C197,Versioning conventions for skills,Deployment,Distribution,intermediate,understand,C195,17
C198,Semantic versioning for skills,Deployment,Distribution,intermediate,apply,C197,17
C199,Skill documentation requirements,Deployment,Distribution,intermediate,understand,"C046,C195",17
C200,Skill collection repository structure,Ecosystem,Distribution,intermediate,understand,"C195,C025",17
